id;murre;lat;lon;klaster
561;lääne;58.95;23.29;2
562;lääne;58.97;23.26;2
563;lääne;58.98;23.23;2
564;lääne;58.98;23.21;2
565;lääne;58.96;23.21;2
566;lääne;58.97;23.18;2
567;lääne;58.96;23.18;2
568;lääne;58.96;23.17;2
569;lääne;58.95;23.16;2
570;lääne;58.96;23.15;2
571;lääne;58.97;23.15;2
572;lääne;58.97;23.16;2
573;lääne;59.01;23.11;2
574;lääne;59.02;23.11;2
575;lääne;59.03;23.12;2
576;lääne;59.03;23.12;2
577;lääne;59.05;23.16;2
578;lääne;59.03;23.24;2
579;lääne;59.02;23.24;2
580;lääne;59.02;23.26;2
581;lääne;59.02;23.28;2
582;lääne;59.03;23.3;2
583;lääne;59.02;23.31;2
584;lääne;59.03;23.32;2
585;lääne;58.98;23.38;2
586;lääne;58.97;23.37;2
587;lääne;58.98;23.33;2
588;lääne;58.97;23.32;2
589;lääne;58.97;23.28;2
590;lääne;58.96;23.29;2
591;lääne;58.95;23.31;2
592;lääne;NA;NA;2
593;saarte;59;22.7;2
594;saarte;58.99;22.8;2
595;saarte;59;22.84;2
596;saarte;58.97;22.91;2
597;saarte;58.95;22.94;2
598;saarte;58.94;22.94;2
599;saarte;58.91;22.98;2
600;saarte;58.88;23.02;2
601;saarte;58.83;23.07;2
602;saarte;58.82;23.03;2
603;saarte;58.84;22.98;2
604;saarte;58.84;22.94;2
605;saarte;58.83;22.91;2
606;saarte;58.8;22.86;2
607;saarte;58.77;22.81;2
608;saarte;58.79;22.75;2
609;saarte;58.8;22.73;2
610;saarte;58.77;22.7;2
611;saarte;58.77;22.72;2
612;saarte;58.72;22.68;2
613;saarte;58.69;22.65;2
614;saarte;58.69;22.57;2
615;saarte;58.71;22.49;2
616;saarte;58.72;22.47;2
617;saarte;58.73;22.5;2
618;saarte;58.75;22.46;2
619;saarte;58.77;22.47;2
620;saarte;58.79;22.44;2
621;saarte;58.8;22.45;2
622;saarte;58.85;22.43;2
623;saarte;58.89;22.37;2
624;saarte;58.89;22.32;2
625;saarte;58.88;22.31;2
626;saarte;58.89;22.27;2
627;saarte;58.88;22.24;2
628;saarte;58.87;22.19;2
629;saarte;58.89;22.14;2
630;saarte;58.9;22.12;2
631;saarte;58.92;22.04;2
